# Character
캐릭터ID,이름,최대 HP,최대 Cost,Cost 회복량,자원최대치,자원타입,자원조건,기본지급여부,해금조건,패시브스킬1,패시브스킬2,고유스킬1,고유스킬2,캐릭터스킬1,캐릭터스킬2,공유스킬1,공유스킬2,룬1,룬2,룬3,룬4,룬5,카르마 회복,캐릭터소개
CharacterId,Name,MaxHP,MaxCost,CostRecovery,MaxResource,ResourceType,ResourceTrigger,IsDefaultProvided,UnlockCondition,PassiveSkill1,PassiveSkill2,UniqueSkill1,UniqueSkill2,CharacterSkill1,CharacterSkill2,CommonSkill1,CommonSkill2,Rune1,Rune2,Rune3,Rune4,Rune5,Regeneration,introduction
Char_01,힐트,105,10,4,5,Karma,OnAnyAllyDamaged,1,1,S_Passive_01,S_Passive_02,S_Unique_01,S_Unique_02,S_Ability_01,S_Ability_03,S_Public_01,S_Public_03,Rune_51,Rune_52,Rune_53,Rune_54,Rune_55,"피해를 받았을 때
생명력이 감소하지 않았다면
카르마를 1 회복합니다.","“강한 놈들이 득실거린다며?
그럼 내가 가야지.”

벨가드 용병단 소속의 탐사자.
호전적이고 거침없는 성격으로, 위험한 전투일수록 먼저 뛰어들며 이번 탐사에서도 자신의 강함을 증명하려 합니다.",,,,,
Char_02,카야,98,11,4,5,Karma,OnThreeActionsInSameSlot,1,1,S_Passive_03,S_Passive_04,S_Unique_03,S_Unique_04,S_Ability_05,S_Ability_07,S_Public_05,S_Public_07,Rune_56,Rune_57,Rune_58,Rune_59,Rune_60,"한 슬롯에서 3회 이상 행동을
등록하면 카르마를 1 회복합니다. ","“임무라면 완수한다. 그뿐이야.”

하쿠렌 가문 소속의 탐사자.
침착하고 냉철하며 어떤 상황에서도 흐트러지지 않고, 미지의 적과 전투를 거치며 자신의 검술을 더욱 완성해갑니다.",,,,,
Char_03,헤이즈,84,14,4,5,Karma,OnSpendEightCostInTurn,1,1,S_Passive_05,S_Passive_06,S_Unique_05,S_Unique_06,S_Ability_09,S_Ability_11,S_Public_09,S_Public_11,Rune_61,Rune_62,Rune_63,Rune_64,Rune_65,"한 턴에 마나를 8 이상 소모하면
카르마를 1 회복합니다.","“정말 제가 가야 하는 건가요?”

아스텔 학회 소속의 탐사자.
겁이 많고 소심하지만 맡은 연구에서 물러서지는 않으며, 소환수 니아와 함께 자신의 나약함을 극복하려 합니다.",,,,,
Char_04,이네스,100,10,4,5,Karma,OnAllyBuffApplied,1,1,S_Passive_07,S_Passive_08,S_Unique_07,S_Unique_08,S_Ability_13,S_Ability_15,S_Public_13,S_Public_15,Rune_66,Rune_67,Rune_68,Rune_69,Rune_70,"아군에게 이로운 효과를 부여하면
카르마를 1 회복합니다.","“걱정하지 마세요.
모두 무사히 돌아갈 수 있도록 할게요.”

세라피아 교단에서 파견된 집행자입니다. 밝고 상냥하게 동료들을 보살피지만, 그들을 위협하는 존재 앞에서는 망설임 없이 냉혹한 모습을 드러냅니다.",,,,,
Char_05,레이나,90,12,4,5,Karma,OnDamageEnemy,2,2,S_Passive_09,S_Passive_10,S_Unique_09,S_Unique_10,S_Ability_17,S_Ability_19,S_Public_17,S_Public_19,Rune_71,Rune_72,Rune_73,Rune_74,Rune_75,"공격타입의 기억으로
적에게 피해를 주면
카르마를1 회복합니다.","“그냥 내가 가고 싶어서 가는 거야.”

어느 집단에도 속하지 않은 채 홀로 떠도는 뱀파이어입니다. 말수는 적고 자유분방하며 타인의 규칙에 얽매이지 않고, 자신의 관심이 향한 탐사대를 따라 스스로 위험 속으로 발을 들입니다.",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,

# Monster
몬스터ID,이름,등급,HP,방어도,최소 렘넌트,최대 렘넌트,고유아이템,고유 아이템 확률,유물확률,공격범위,보유스킬1 ID,보유스킬2 ID,보유스킬3 ID,보유스킬4 ID,보유스킬5 ID,보유스킬6 ID,보유스킬7 ID,보유스킬8 ID,보유스킬9 ID,보유스킬10 ID,특수행동1,특수행동2
MonsterId,Name,Grade,HP,Armor,MinRemnant,MaxRemnant,UniqueItemId ,UniqueItemChance,RelicChance,AttackRange,PossSkillId01,PossSkillId02,PossSkillId03,PossSkillId04,PossSkillId05,PossSkillId06,PossSkillId07,PossSkillId08,PossSkillId09,PossSkillId10,SpecialAction1,SpecialAction2
Mon_01,머크,Common,32,0,8,16,Item_001,0.4,0.02,Range_19,S_Monster_01,S_Monster_02,0,0,0,0,0,0,0,0,"가까운 캐릭터에게
이동합니다.","분열 수치가 0이 되면
블롭 2마리로 분열합니다."
Mon_02,블롭,Common,15,0,5,10,Item_002,0.4,0.02,Range_20,S_Monster_03,S_Monster_04,0,0,0,0,0,0,0,0,"가까운 캐릭터에게
이동합니다.","이동할 때 지나온 위치에
잔여물을 생성합니다."
Mon_03,랜서,Common,18,0,12,18,Item_003,0.4,0.02,Range_19,S_Monster_05,S_Monster_06,S_Monster_07,0,0,0,0,0,0,0,"캐릭터가 가까이 오면
멀리 이동합니다.","매 턴 모든 몬스터에게
원한을 부여합니다."
Mon_04,블라이트,Common,20,0,12,18,Item_004,0.4,0.02,Range_19,S_Monster_08,S_Monster_09,S_Monster_10,0,0,0,0,0,0,0,"캐릭터가 가까이 오면
멀리 이동합니다.","매 턴 모든 캐릭터에게
침식을 부여합니다."
Mon_05,베스파,Common,35,0,18,25,Item_005,0.4,0.02,Range_20,S_Monster_11,S_Monster_12,0,0,0,0,0,0,0,0,"한 턴에 최대 2회
이동할 수 있습니다.","캐릭터와 같은 라인으로
이동하여 돌진합니다."
Mon_06,신더,Common,16,20,15,22,Item_006,0.4,0.02,Range_24,S_Monster_13,S_Monster_14,0,0,0,0,0,0,0,0,"가까운 캐릭터에게
이동합니다.","폭발 수치가 0이 되면
폭발하여 피해를 줍니다."
Mon_07,드라우그,Common,38,0,10,20,Item_007,0.4,0.02,Range_02,S_Monster_26,S_Monster_27,S_Monster_28,0,0,0,0,0,0,0,"가까운 캐릭터에게
이동합니다.","공격스킬에 피격받으면
반격합니다."
Mon_08,바로우,Common,30,0,10,20,Item_008,0.4,0.02,Range_20,S_Monster_29,S_Monster_30,S_Monster_31,0,0,0,0,0,0,0,"캐릭터가 가까이오면
반대로 이동합니다.","캐릭터가 같은 라인에 없다면
곡사를 사용합니다."
Mon_09,루크,Elite,85,0,30,45,Item_009,0.25,0.1,Range_02,S_Monster_32,S_Monster_33,S_Monster_34,S_Monster_35,S_Monster_36,0,0,0,0,0,"가까운 캐릭터에게
이동합니다.",매 턴 방어도를 회복합니다.
Mon_10,녹턴,Elite,94,0,36,48,Item_010,0.25,0.1,Range_24,S_Monster_15,S_Monster_16,S_Monster_17,S_Monster_18,S_Monster_19,0,0,0,0,0,"캐릭터의 후방으로
순간이동합니다.","기습을 보유하며,
후방에 피해를 줄 때
강한 피해를 줍니다."
Mon_11,모르트,Elite,77,0,35,42,Item_011,0.25,0.1,Range_19,S_Monster_37,S_Monster_38,S_Monster_39,S_Monster_40,S_Monster_41,0,0,0,0,0,"캐릭터가 가까이오면
반대로 이동합니다.","병사가 죽었다면
1턴 후 되살립니다."
Mon_12,아라벨라,Boss,142,0,45,55,Item_012,0.7,0,Range_19,S_Monster_20,S_Monster_21,S_Monster_22,S_Monster_23,S_Monster_24,S_Monster_25,0,0,0,0,"캐릭터가 가까이 오면
반대로 이동합니다.","매 턴 무작위 슬롯 하나를
사용할 수 없게 합니다."
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,

# SkillMaster
스킬 ID,이름,분류,레어도,참조자원,대상,레벨,타입,효과 ID,수치계수,횟수계수,자원소모량,범위타입,범위ID,효과
SkillId,Name,Category,Rarity,ReferenceResource,Target,Level,SkillType,EffectIds,ValueRate,CountRate,ResourceCostValue,RangeType,RangeId,Details
S_Move_1,이동,Move,Move,Cost,Self,1,0,E_Move,0,1,1,Selection,Range_All,선택한 그리드로 이동합니다. 이동한 칸 수만큼 코스트를 소모합니다.
S_Move_2,이동+,Move,Move,Cost,Self,2,0,E_Move,0,1,1,Selection,Range_All,선택한 그리드로 이동합니다. 1코스트로 최대 2칸까지 이동할 수 있습니다.
S_Passive_01,결속,Passive,Exclusive,Ulti,Self,0,0,E_Armor,5,1,0,Passive,Range_Self,"카르마가 최대라면 턴 시작 시
방어도를 {ValueRate1} 얻습니다."
S_Passive_02,호전성,Passive,Exclusive,Ulti,Self,0,0,E_Boost,1,1,0,Passive,Range_Self,"카르마가 최대라면 턴 시작 시
증폭을 {ValueRate1} 얻습니다."
S_Passive_03,평정심,Passive,Exclusive,Ulti,Self,0,0,E_Charge,1,1,0,Passive,Range_Self,"카르마가 최대라면 턴 시작 시
충전을 {ValueRate1} 얻습니다."
S_Passive_04,간파,Passive,Exclusive,Ulti,Self,0,0,E_Swift,1,1,0,Passive,Range_Self,"카르마가 최대라면 턴 시작 시
신속을 {ValueRate1} 얻습니다."
S_Passive_05,안도감,Passive,Exclusive,Ulti,Self,0,0,E_Armor,4,1,0,Passive,Range_Self,"카르마가 최대라면 턴 시작 시
방어도를 {ValueRate1} 얻습니다."
S_Passive_06,결심,Passive,Exclusive,Ulti,Self,0,0,E_Armor,3,1,0,Passive,Range_Self,"카르마가 최대라면 턴 시작 시
생명력이 가장 낮은 아군에게
방어도를 {ValueRate1} 부여합니다."
S_Passive_07,자애심,Passive,Exclusive,Ulti,Self,0,0,E_Heal,2,1,0,Passive,Range_Self,"카르마가 최대라면 턴 시작 시
생명력이 가장 낮은 아군의
생명력을 {ValueRate1} 회복합니다."
S_Passive_08,심판,Passive,Exclusive,Ulti,Self,0,0,E_Smite,1,1,0,Passive,Range_Self,"카르마가 최대라면 턴 시작 시
강타를 {ValueRate1} 얻습니다."
S_Passive_09,블러드러스트,Passive,Exclusive,Ulti,Self,0,0,E_Lifesteal,1,1,0,Passive,Range_Self,"카르마가 최대라면 턴 시작 시
흡혈을 {ValueRate1} 얻습니다."
S_Passive_10,나이트메어,Passive,Exclusive,Ulti,Self,0,0,E_Boost,1,1,0,Passive,Range_Self,"카르마가 최대라면 턴 시작 시
증폭을 {ValueRate1} 얻습니다."
S_Unique_01,용의 가호,Unique,Exclusive,Ulti,PlayerParty,0,Buff,E_Armor,8,1,3,Direction,Range_All,용의 힘으로 자신과 아군에게 방어도를 {ValueRate1} 부여합니다.
